Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2019-03-01,,506.0,497.5,501.0,,48253.0,24163738.0,,,
2019-02-28,,496.0,480.5,495.5,,60038.0,29546756.0,,,
2019-02-27,,482.5,475.5,482.0,,29863.0,14336548.0,,,
2019-02-26,,484.5,475.5,482.5,,37216.0,17941044.0,,,
2019-02-25,,487.5,466.0,480.5,,70333.0,33755323.0,,,
2019-02-22,,479.5,465.5,479.5,,55777.0,26483966.0,,,
2019-02-21,,471.5,457.5,468.0,,56000.0,26094117.0,,,
2019-02-20,,469.5,456.0,459.0,,51094.0,23530501.0,,,
2019-02-19,,463.0,456.5,459.5,,38989.0,17919468.0,,,
2019-02-18,,461.5,439.0,458.5,,53376.0,24284067.0,,,
2019-02-15,,453.5,437.0,442.5,,125012.0,55304880.0,,,
2019-02-14,,490.0,439.5,451.0,,186203.0,84830069.0,,,
2019-02-13,,490.0,480.0,481.5,,,,,,
2019-02-12,,488.0,477.5,479.5,,,,,,
2019-02-11,,482.5,469.0,475.5,,,,,,
2019-02-08,,473.0,464.5,471.5,,,,,,
2019-02-07,,484.0,473.5,473.5,,,,,,
2019-02-06,,485.5,471.5,481.0,,,,,,
2019-02-05,,487.0,476.5,482.5,,,,,,
2019-02-04,,485.0,476.0,480.5,,,,,,
2019-02-01,,497.5,479.5,481.0,,,,,,
2019-01-31,,489.0,482.5,486.5,,,,,,
2019-01-30,,488.0,480.5,484.0,,,,,,
2019-01-29,,488.0,476.0,483.0,,,,,,
2019-01-28,,485.0,477.5,481.5,,,,,,
2019-01-25,,487.0,478.0,480.0,,,,,,
2019-01-24,,487.5,472.5,477.5,,,,,,
2019-01-23,,491.0,482.5,489.5,,,,,,
2019-01-22,,491.5,477.0,487.0,,,,,,
2019-01-21,,483.5,471.5,481.0,,,,,,
2019-01-18,,473.5,461.5,472.0,,,,,,
2019-01-17,,462.0,451.5,461.5,,,,,,
2019-01-15,,461.0,456.0,457.0,,,,,,
